## begin version 0.97 source file header              
## generated by Erik Iverson at Wed Mar 27 17:05:20 2002
## by scaling source_sct21a_td_05.dat by a factor of 1.000e+00 
## and renormalizing the pulse shapes to match.       
## source_sct21a_td_05.dat is described as:                    
###  ## begin version 0.96 source file header              
###  ## generated by Erik Iverson at Thu Mar 14 13:39:47 2002
###  ## from the output of MCNP case sct21a, described as: 
###  ##  SNS 1 - HPTS 1/02 sct21a TD w/ p w/ point detector and pd card, parah 8/98     
###  ## mcnpxpar   2.1.5  06/02/02 10:12:10   37    7679857   322107640418
###  ## The output reported is for the following moderator
###  ##           5TD Beamline, 10m from surf, perp, intensity/u, E * n/st(p)/eV/p      
###  ## headerend
##
## section 1 key
## output is reported for entire 10x12cm2 surface.
## output is scaled per 34 kJ (2 MW/60 Hz) pulse. 
## Energy given is center of the bin in a logarithmic
## sense, and wavelength is for that energy.         
## There are 141 points.
## 
##  Energy     Wavelength      Flux      Std. Error      Flux      Std. Error  
##    E             l          f(E)         s(E)         f(l)         s(l)
##    eV        Angstroms       n/ster/pulse/eV         n/ster/pulse/Angstrom    
  1.0000e-05   9.0446e+01   2.2109e+11   6.6659e+10   4.8889e+04   1.4740e+04
  1.1220e-05   8.5387e+01   1.6475e+11   1.6475e+11   4.3296e+04   4.3296e+04
  1.2589e-05   8.0610e+01   2.9361e+11   2.0761e+11   9.1709e+04   6.4848e+04
  1.4125e-05   7.6101e+01   5.2330e+11   2.6165e+11   1.9426e+05   9.7132e+04
  1.5849e-05   7.1844e+01   5.8293e+11   2.6069e+11   2.5719e+05   1.1502e+05
  1.7783e-05   6.7825e+01   8.3113e+11   2.9389e+11   4.3582e+05   1.5411e+05
  1.9953e-05   6.4031e+01   2.5007e+12   4.8113e+11   1.5585e+06   2.9985e+05
  2.2387e-05   6.0449e+01   4.9239e+12   6.4355e+11   3.6471e+06   4.7667e+05
  2.5119e-05   5.7068e+01   5.5158e+12   6.3708e+11   4.8557e+06   5.6083e+05
  2.8184e-05   5.3875e+01   6.2268e+12   6.3887e+11   6.5148e+06   6.6842e+05
  3.1623e-05   5.0862e+01   6.8345e+12   6.3698e+11   8.4986e+06   7.9207e+05
  3.5481e-05   4.8016e+01   9.5811e+12   7.0613e+11   1.4160e+07   1.0436e+06
  3.9811e-05   4.5330e+01   8.3549e+12   6.2244e+11   1.4675e+07   1.0933e+06
  4.4668e-05   4.2795e+01   1.1426e+13   6.8784e+11   2.3852e+07   1.4359e+06
  5.0119e-05   4.0401e+01   1.3279e+13   6.9978e+11   3.2945e+07   1.7362e+06
  5.6234e-05   3.8141e+01   2.3939e+13   8.8813e+11   7.0590e+07   2.6189e+06
  6.3096e-05   3.6007e+01   1.8535e+13   7.3585e+11   6.4959e+07   2.5789e+06
  7.0795e-05   3.3993e+01   3.2346e+13   9.2186e+11   1.3473e+08   3.8398e+06
  7.9433e-05   3.2091e+01   3.0500e+13   8.4484e+11   1.5098e+08   4.1823e+06
  8.9125e-05   3.0296e+01   3.1910e+13   8.1690e+11   1.8775e+08   4.8063e+06
  1.0000e-04   2.8602e+01   3.2814e+13   7.8425e+11   2.2945e+08   5.4839e+06
  1.1220e-04   2.7002e+01   3.6146e+13   7.7714e+11   3.0040e+08   6.4586e+06
  1.2589e-04   2.5491e+01   3.6394e+13   7.3516e+11   3.5948e+08   7.2614e+06
  1.4125e-04   2.4065e+01   3.9847e+13   7.3318e+11   4.6777e+08   8.6070e+06
  1.5849e-04   2.2719e+01   5.4962e+13   8.0244e+11   7.6683e+08   1.1196e+07
  1.7783e-04   2.1448e+01   6.8804e+13   8.5317e+11   1.1409e+09   1.4147e+07
  1.9953e-04   2.0248e+01   9.7032e+13   9.5091e+11   1.9123e+09   1.8740e+07
  2.2387e-04   1.9116e+01   9.3684e+13   8.9937e+11   2.1944e+09   2.1066e+07
  2.5119e-04   1.8046e+01   8.7507e+13   8.1382e+11   2.4360e+09   2.2655e+07
  2.8184e-04   1.7037e+01   9.8414e+13   8.0700e+11   3.2561e+09   2.6700e+07
  3.1623e-04   1.6084e+01   1.0191e+14   7.9491e+11   4.0074e+09   3.1258e+07
  3.5481e-04   1.5184e+01   1.1281e+14   7.8965e+11   5.2720e+09   3.6904e+07
  3.9811e-04   1.4335e+01   1.2464e+14   7.7277e+11   6.9231e+09   4.2923e+07
  4.4668e-04   1.3533e+01   1.5112e+14   8.3114e+11   9.9758e+09   5.4867e+07
  5.0119e-04   1.2776e+01   2.1511e+14   9.0345e+11   1.6877e+10   7.0883e+07
  5.6234e-04   1.2061e+01   1.6844e+14   7.5799e+11   1.5707e+10   7.0681e+07
  6.3096e-04   1.1386e+01   1.7840e+14   7.4926e+11   1.9771e+10   8.3038e+07
  7.0795e-04   1.0750e+01   2.0998e+14   7.5593e+11   2.7658e+10   9.9568e+07
  7.9433e-04   1.0148e+01   2.6628e+14   8.2546e+11   4.1684e+10   1.2922e+08
  8.9125e-04   9.5805e+00   2.3180e+14   7.1857e+11   4.3127e+10   1.3369e+08
  1.0000e-03   9.0446e+00   2.4927e+14   6.9797e+11   5.5121e+10   1.5434e+08
  1.1220e-03   8.5387e+00   2.8366e+14   7.0916e+11   7.4549e+10   1.8637e+08
