# TITLE Crystal table for perfect crystal bent monochromator
# Table copied from SIMRES, current url: https://github.com/saroun/simres
# Contents: dhkl, QML,sigmab,sigmaa,V0,A,thetaD,C2,poi
# dhkl ... Lattice spacing of crystal plane.
# QML = 4*PI*(F*dhkl/V0)**2 [ A^-1 cm^-1]
# sigmab ... bound-atom scattering cross-section [barn]
# sigmaa ... absorption for 1A neutrons [barn*A^-1]
# sigmai ... incoherent scattering cross-section [barn]
# V0 .... volume [A^3]/atom
# A  .... atomic number
# thetaD .... Debye temperature (K)
# C2 .... constant from the Freund's paper  [A^-2 eV^-1]
# poi .... Poisson elastic constant
0
# The first two rows are placeholders for making stuff work.
0
# Cu 111 
 1.32857  0.05117      7.62579  0.00422655	0.002  8.10926  9.012  1100  7.62  0.28000E+00
# Be 103 
 1.02290  0.091        7.62579  0.00422655	0.002  8.10926  9.012  1100  7.62  0.28000E+00
# Be 110 
 1.14290  0.15147      7.62579  0.00422655	0.002  8.10926  9.012  1100  7.62  0.28000E+00
# Be 112 
 0.96363  0.10768      7.62579  0.00422655	0.002  8.10926  9.012  1100  7.62  0.28000E+00
# Be 200 
 0.98978  0.0284       7.62579  0.00422655	0.002  8.10926  9.012  1100  7.62  0.28000E+00
# Be 00.2
 1.79215  0.37245      7.62579  0.00422655	0.002  8.10926  9.012  1100  7.62  0.30000E+00
# Be 10.1
 1.73285  0.26116      7.62579  0.00422655	0.002  8.10926  9.012  1100  7.62  0.30000E+00
# PG 00.2
 3.35500  0.79500E+00  5.555  0.0019	0.0  8.80  12.01  1050  20.00  0.30000E+00
# PG 00.4
 1.67750  0.18000E+00  5.555  0.0019	0.0  8.80  12.01  1050  20.00  0.30000E+00
# PG 00.6
 1.11830  0.08833E+00  5.555  0.0019	0.0  8.80  12.01  1050  20.00  0.30000E+00
# Fe 110 
 2.02660  0.34031E+00  11.43  2.53	0.4  11.75  55.85  411  10.67  0.30000E+00
# HS 111 
 3.43500  0.11020E+00  1.79  2.88	0.55  13.16  48.0  300  12.00  0.30000E+00
# HS 222 
 1.71750  0.13130E+00  1.79  2.88	0.55  13.16  48.0  300  12.00  0.30000E+00
# HS 111*
 3.43500  0.55100E-01  1.79  2.88	0.55  13.16  48.0  300  12.00  0.30000E+00
# Di 111 
 2.05929  0.36606      5.55449  0.00194444	0.0  5.67213  12.01  1860  3.00  0.30000E+00
# Di 220 
