# index: index number (ignored)
# iontype: the type of ion (set to 0)
# xrel:  Relative position in x
# yrel:  Relative position in y
# zrel:  Relative position in z
# b[fm]: Neutron scattergin length in fm.
# gS:    
# Sx:    
# Sy:    
# gL:    
# Lx:    
# Ly:    
# Lz:    
# j0a:   
# j0A:   
# j2a:   
# j2A:   
#
#index iontype xrel yrel zrel b[fm] gS Sx Sy Sz gL Lx Ly Lz j0A j0a j0B j0b j0C j0c j0D j2A j2a j2B j2b j2C j2c j2D
1 0 0.000000 0.006000 0.361000 8.240000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 0 0.000000 0.494000 0.861000 8.240000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3 0 0.000000 0.506000 0.139000 8.240000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4 0 0.000000 -0.006000 0.639000 8.240000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5 0 0.500000 0.006000 0.861000 8.240000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6 0 0.500000 0.506000 0.639000 8.240000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
7 0 0.500000 0.494000 0.361000 8.240000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
8 0 0.500000 -0.006000 0.139000 8.240000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
9 0 0.000000 0.000000 0.000000 7.718000 1.200000 0.000000 0.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.023200 34.968600 0.402300 11.564000 0.588200 3.842800 -0.013700 1.518900 10.477900 1.151200 3.813200 0.291800 11.397900 0.001700
10 0 0.500000 0.500000 0.000000 7.718000 1.200000 0.000000 -0.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.023200 34.968600 0.402300 11.564000 0.588200 3.842800 -0.013700 1.518900 10.477900 1.151200 3.813200 0.291800 11.397900 0.001700
11 0 0.500000 0.000000 0.500000 7.718000 1.200000 0.000000 -0.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.023200 34.968600 0.402300 11.564000 0.588200 3.842800 -0.013700 1.518900 10.477900 1.151200 3.813200 0.291800 11.397900 0.001700
12 0 0.000000 0.500000 0.500000 7.718000 1.200000 0.000000 0.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.023200 34.968600 0.402300 11.564000 0.588200 3.842800 -0.013700 1.518900 10.477900 1.151200 3.813200 0.291800 11.397900 0.001700
13 0 0.250000 0.250000 0.008100 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14 0 0.750000 0.750000 0.491900 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15 0 0.750000 0.750000 0.991900 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
16 0 0.250000 0.250000 0.508100 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
17 0 0.750000 0.250000 0.508100 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
18 0 0.250000 0.750000 0.991900 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
19 0 0.250000 0.750000 0.491900 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 0.750000 0.250000 0.008100 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
21 0 0.000000 -0.033200 0.183900 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
22 0 0.000000 0.533200 0.683900 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
23 0 0.000000 0.466800 0.316100 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
24 0 0.000000 0.033200 0.816100 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
25 0 0.500000 -0.033200 0.683900 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
26 0 0.500000 0.466800 0.816100 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
27 0 0.500000 0.533200 0.183900 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
28 0 0.500000 0.033200 0.316100 5.803000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
