## begin version 0.97 source file header              
## generated by Erik Iverson at Wed Mar 27 17:54:11 2002
## by scaling source_sct091_tu_11.dat by a factor of 1.000e+00 
## and renormalizing the pulse shapes to match.       
## source_sct091_tu_11.dat is described as:                    
###  ## begin version 0.96 source file header              
###  ## generated by Erik Iverson at Thu Mar 14 13:32:06 2002
###  ## from the output of MCNP case sct091, described as: 
###  ##  SNS 1 - sct091 TU fixed Cd w/ Protons and PD (w/ pd) for perf, parah 8/98      
###  ## mcnpxpar   2.1.5  05/02/02 10:27:36   24    7679986   308961378118
###  ## The output reported is for the following moderator
###  ##          11TU Beamline, 10m from surf, perp, intensity/u, E * n/st(p)/eV/p      
###  ## headerend
##
## section 1 key
## output is reported for entire 10x12cm2 surface.
## output is scaled per 34 kJ (2 MW/60 Hz) pulse. 
## Energy given is center of the bin in a logarithmic
## sense, and wavelength is for that energy.         
## There are 141 points.
## 
##  Energy     Wavelength      Flux      Std. Error      Flux      Std. Error  
##    E             l          f(E)         s(E)         f(l)         s(l)
##    eV        Angstroms       n/ster/pulse/eV         n/ster/pulse/Angstrom    
  1.0000e-05   9.0446e+01   2.3769e+10   2.3769e+10   5.2558e+03   5.2558e+03
  1.1220e-05   8.5387e+01   1.9443e+11   1.9443e+11   5.1097e+04   5.1097e+04
  1.2589e-05   8.0610e+01   3.4662e+11   2.4510e+11   1.0827e+05   7.6555e+04
  1.4125e-05   7.6101e+01   1.5444e+11   1.5444e+11   5.7331e+04   5.7331e+04
  1.5849e-05   7.1844e+01   7.3010e+01   7.3010e+01   3.2212e-05   3.2212e-05
  1.7783e-05   6.7825e+01   1.2266e+11   1.2266e+11   6.4319e+04   6.4319e+04
  1.9953e-05   6.4031e+01   3.2798e+11   1.8938e+11   2.0441e+05   1.1802e+05
  2.2387e-05   6.0449e+01   4.8793e+11   2.1820e+11   3.6141e+05   1.6162e+05
  2.5119e-05   5.7068e+01   8.6862e+11   2.7466e+11   7.6466e+05   2.4178e+05
  2.8184e-05   5.3875e+01   1.0064e+12   2.7907e+11   1.0529e+06   2.9198e+05
  3.1623e-05   5.0862e+01   8.2795e+11   2.3903e+11   1.0295e+06   2.9723e+05
  3.5481e-05   4.8016e+01   9.2259e+11   2.3821e+11   1.3635e+06   3.5205e+05
  3.9811e-05   4.5330e+01   1.3396e+12   2.7448e+11   2.3529e+06   4.8211e+05
  4.4668e-05   4.2795e+01   1.2703e+12   2.4911e+11   2.6519e+06   5.2004e+05
  5.0119e-05   4.0401e+01   1.9170e+12   2.8909e+11   4.7563e+06   7.1725e+05
  5.6234e-05   3.8141e+01   2.8335e+12   3.3152e+11   8.3552e+06   9.7756e+05
  6.3096e-05   3.6007e+01   2.1791e+12   2.7457e+11   7.6370e+06   9.6226e+05
  7.0795e-05   3.3993e+01   4.5630e+12   3.7508e+11   1.9006e+07   1.5623e+06
  7.9433e-05   3.2091e+01   4.4868e+12   3.5131e+11   2.2211e+07   1.7391e+06
  8.9125e-05   3.0296e+01   3.9432e+12   3.1073e+11   2.3200e+07   1.8282e+06
  1.0000e-04   2.8602e+01   5.1824e+12   3.5189e+11   3.6239e+07   2.4606e+06
  1.1220e-04   2.7002e+01   4.9169e+12   3.0976e+11   4.0863e+07   2.5743e+06
  1.2589e-04   2.5491e+01   5.3810e+12   3.1425e+11   5.3150e+07   3.1039e+06
  1.4125e-04   2.4065e+01   5.0941e+12   2.8425e+11   5.9801e+07   3.3369e+06
  1.5849e-04   2.2719e+01   7.1456e+12   3.1512e+11   9.9696e+07   4.3966e+06
  1.7783e-04   2.1448e+01   8.1452e+12   3.2010e+11   1.3506e+08   5.3080e+06
  1.9953e-04   2.0248e+01   1.0933e+13   3.4658e+11   2.1547e+08   6.8303e+06
  2.2387e-04   1.9116e+01   1.0830e+13   3.2599e+11   2.5368e+08   7.6357e+06
  2.5119e-04   1.8046e+01   1.0786e+13   3.3437e+11   3.0026e+08   9.3081e+06
  2.8184e-04   1.7037e+01   1.1786e+13   3.0290e+11   3.8995e+08   1.0022e+07
  3.1623e-04   1.6084e+01   1.1501e+13   2.8521e+11   4.5223e+08   1.1215e+07
  3.5481e-04   1.5184e+01   1.4008e+13   2.9836e+11   6.5464e+08   1.3944e+07
  3.9811e-04   1.4335e+01   1.4541e+13   2.9372e+11   8.0765e+08   1.6315e+07
  4.4668e-04   1.3533e+01   1.6574e+13   2.8672e+11   1.0941e+09   1.8928e+07
  5.0119e-04   1.2776e+01   2.3353e+13   3.2928e+11   1.8323e+09   2.5835e+07
  5.6234e-04   1.2061e+01   1.9014e+13   2.9471e+11   1.7730e+09   2.7481e+07
  6.3096e-04   1.1386e+01   2.0274e+13   2.6964e+11   2.2468e+09   2.9883e+07
  7.0795e-04   1.0750e+01   2.5507e+13   2.8568e+11   3.3597e+09   3.7629e+07
  7.9433e-04   1.0148e+01   3.1252e+13   3.0002e+11   4.8923e+09   4.6966e+07
  8.9125e-04   9.5805e+00   2.9772e+13   2.7390e+11   5.5391e+09   5.0960e+07
  1.0000e-03   9.0446e+00   2.9961e+13   2.6965e+11   6.6251e+09   5.9626e+07
  1.1220e-03   8.5387e+00   3.2464e+13   2.5646e+11   8.5317e+09   6.7401e+07
  1.2589e-03   8.0610e+00   3.4233e+13   2.6017e+11   1.0693e+10   8.1264e+07
  1.4125e-03   7.6101e+00   3.2644e+13   2.3178e+11   1.2119e+10   8.6042e+07
  1.5849e-03   7.1844e+00   3.4512e+13   2.2778e+11   1.5227e+10   1.0050e+08
