0.1	6.5
0.2	6.5
0.3	6.5
0.4	6.5
0.5	6.5
0.6	6.5
0.7	6.6
0.8	6.9
0.9	7.4
1	8.3
1.1	9.5
1.2	11.1
1.3	13.5
1.4	16.9
1.5	21.7
1.6	28.3
1.7	36.6
1.8	46.1
1.9	54.3
2	58.3
2.1	57.3
2.2	53.3
2.3	48.7
2.4	44.7
2.5	41.8
2.6	40
2.7	39.2
2.8	38.8
2.9	38
3	35.8
3.1	32
3.2	27.2
3.3	22.5
3.4	18.8
3.5	16.1
3.6	14.4
3.7	13.3
3.8	12.7
3.9	12.5
4	12.4
4.1	12.4
4.2	12.4
4.3	12.4
4.4	12.3
4.5	12.2
4.6	11.9
4.7	11.6
4.8	11.2
4.9	10.7
5	10.2
5.1	9.7
5.2	9
5.3	8.6
5.4	7.9
5.5	7.3
5.6	6.7
5.7	6.3
5.8	5.9
5.9	5.6
6	5.3
6.1	5.2
6.2	5
6.3	4.9
6.4	4.9
6.5	4.9
6.6	4.9
6.7	4.9
6.8	4.9
6.9	4.8
7	4.8
7.1	4.6
7.2	4.5
7.3	4.4
7.4	4.2
7.5	4
7.6	3.9
7.7	3.7
7.8	3.6
7.9	3.4
8	3.3
8.1	3.2
8.2	3.1
8.3	3
8.4	2.9
8.5	2.8
8.6	2.8
8.7	2.8
8.8	2.8
8.9	2.8
9	2.7
9.1	2.7
9.2	2.7
9.3	2.7
