#xm ym Nw Nh lm
0.280727900350871 0.0491614276093699 78 68 0.101913892294557
0.0977889049794117 0.267698207059606 78 68 0.101913892294557
-0.18293899537146 0.218536779450236 78 68 0.101913892294557
-0.280727900350871 -0.0491614276093698 78 68 0.101913892294557
-0.0977889049794118 -0.267698207059606 78 68 0.101913892294557
0.18293899537146 -0.218536779450236 78 68 0.101913892294557
0.250242444130716 0.136395451373884 78 68 0.101913892294557
0.0069992962149293 0.28491403940925 78 68 0.101913892294557
-0.243243147915786 0.148518588035366 78 68 0.101913892294557
-0.250242444130716 -0.136395451373884 78 68 0.101913892294557
-0.00699929621492952 -0.28491403940925 78 68 0.101913892294557
0.243243147915787 -0.148518588035366 78 68 0.101913892294557
0.193449142423945 0.209290299095396 78 68 0.101913892294557
-0.0845261445702842 0.272177021227148 78 68 0.101913892294557
-0.277975286994229 0.0628867221317519 78 68 0.101913892294557
-0.193449142423945 -0.209290299095396 78 68 0.101913892294557
0.0845261445702839 -0.272177021227148 78 68 0.101913892294557
0.277975286994229 -0.0628867221317519 78 68 0.101913892294557
0.345948638443709 0.0460493165958434 72 68 0.083232624320638
0.133094441222942 0.322624967594811 72 68 0.083232624320638
-0.212854197220767 0.276575650998968 72 68 0.083232624320638
-0.345948638443709 -0.0460493165958433 72 68 0.083232624320638
-0.133094441222942 -0.322624967594811 72 68 0.083232624320638
0.212854197220767 -0.276575650998968 72 68 0.083232624320638
0.324129181851286 0.129388073145928 72 68 0.083232624320638
0.05001123263455 0.345398142164044 72 68 0.083232624320638
-0.274117949216736 0.216010069018116 72 68 0.083232624320638
-0.324129181851286 -0.129388073145928 72 68 0.083232624320638
-0.0500112326345498 -0.345398142164044 72 68 0.083232624320638
0.274117949216736 -0.216010069018115 72 68 0.083232624320638
0.282560262508403 0.204843105940089 72 68 0.083232624320638
-0.0361192022800224 0.347125918402321 72 68 0.083232624320638
-0.318679464788425 0.142282812462232 72 68 0.083232624320638
-0.282560262508403 -0.204843105940089 72 68 0.083232624320638
0.0361192022800224 -0.347125918402321 72 68 0.083232624320638
0.318679464788425 -0.142282812462232 72 68 0.083232624320638
0.223774709515637 0.267816876580234 72 68 0.083232624320638
-0.120048863922866 0.327703021455142 72 68 0.083232624320638
-0.343823573438503 0.0598861448749079 72 68 0.083232624320638
