# book (Z 3)
#
#Atomic weight: A[r] 18.01 
#Nominal density:   rho 0.8
# Z=1	: 0.111898
# Z=8	: 0.888102
#
#   keV            cm2 g-1
2.080733E+00  4.026191E+02
2.224304E+00  3.327102E+02
2.377781E+00  2.744464E+02
2.541848E+00  2.263959E+02
2.717235E+00  1.867824E+02
2.904724E+00  1.541204E+02
3.105150E+00  1.265477E+02
3.319406E+00  1.034366E+02
3.548445E+00  8.455329E+01
3.793288E+00  6.913999E+01
4.055024E+00  5.654793E+01
4.334821E+00  4.626248E+01
4.633924E+00  3.786072E+01
4.953664E+00  3.099691E+01
5.295467E+00  2.538888E+01
5.660855E+00  2.078007E+01
6.051453E+00  1.701647E+01
6.469004E+00  1.394485E+01
6.915365E+00  1.143744E+01
7.392525E+00  9.390669E+00
7.902609E+00  7.718980E+00
8.447890E+00  6.354278E+00
9.030794E+00  5.232071E+00
9.653919E+00  4.296138E+00
1.032004E+01  3.531122E+00
1.103212E+01  2.906282E+00
1.179334E+01  2.399880E+00
1.260708E+01  1.989551E+00
1.347697E+01  1.656972E+00
1.440688E+01  1.387166E+00
1.540095E+01  1.168143E+00
1.646362E+01  9.902732E-01
1.759961E+01  8.456435E-01
1.881398E+01  7.279625E-01
2.011215E+01  6.320336E-01
2.149988E+01  5.537619E-01
2.298338E+01  4.897637E-01
2.456923E+01  4.373268E-01
2.626450E+01  3.942522E-01
2.807676E+01  3.582624E-01
3.001405E+01  3.284761E-01
3.208502E+01  3.038409E-01
3.429889E+01  2.833712E-01
3.666551E+01  2.662426E-01
3.919543E+01  2.518129E-01
4.189992E+01  2.395445E-01
4.479101E+01  2.290264E-01
4.788159E+01  2.199119E-01
5.118542E+01  2.119156E-01
5.471721E+01  2.048327E-01
5.849270E+01  1.984754E-01
6.252870E+01  1.927016E-01
6.684318E+01  1.874023E-01
7.145536E+01  1.824771E-01
7.638578E+01  1.778553E-01
8.165640E+01  1.734856E-01
8.729069E+01  1.693198E-01
9.331374E+01  1.653067E-01
9.975239E+01  1.614431E-01
1.066353E+02  1.576854E-01
1.139931E+02  1.540301E-01
1.218587E+02  1.504541E-01
1.302669E+02  1.469625E-01
1.392553E+02  1.435322E-01
1.488640E+02  1.401689E-01
1.591356E+02  1.368771E-01
1.701159E+02  1.336331E-01
1.818539E+02  1.304486E-01
1.944018E+02  1.273269E-01
2.078156E+02  1.242648E-01
2.221548E+02  1.212569E-01
2.374835E+02  1.183230E-01
2.538699E+02  1.154351E-01
2.713869E+02  1.126262E-01
2.901126E+02  1.098728E-01
3.101304E+02  1.071847E-01
3.315294E+02  1.045723E-01
3.544049E+02  1.020239E-01
3.788588E+02  9.954647E-02
4.050001E+02  9.713944E-02
