# ethanol (Z 3)
#
#Atomic weight: A[r] 18.01 
#Nominal density:   rho 0.789
# Z=1	: 0.111898
# Z=8	: 0.888102
#
#   keV            cm2 g-1
2.080733E+00  3.351180E+02
2.224304E+00  2.767662E+02
2.377781E+00  2.282342E+02
2.541848E+00  1.882219E+02
2.717235E+00  1.552469E+02
2.904724E+00  1.280665E+02
3.105150E+00  1.051279E+02
3.319406E+00  8.590755E+01
3.548445E+00  7.020985E+01
3.793288E+00  5.740029E+01
4.055024E+00  4.693952E+01
4.334821E+00  3.839786E+01
4.633924E+00  3.142310E+01
4.953664E+00  2.572697E+01
5.295467E+00  2.107474E+01
5.660855E+00  1.724365E+01
6.051453E+00  1.411710E+01
6.469004E+00  1.156790E+01
6.915365E+00  9.488959E+00
7.392525E+00  7.793479E+00
7.902609E+00  6.410032E+00
8.447890E+00  5.281637E+00
9.030794E+00  4.354692E+00
9.653919E+00  3.582543E+00
1.032004E+01  2.952517E+00
1.103212E+01  2.438754E+00
1.179334E+01  2.022489E+00
1.260708E+01  1.685281E+00
1.347697E+01  1.411997E+00
1.440688E+01  1.190324E+00
1.540095E+01  1.010381E+00
1.646362E+01  8.642288E-01
1.759961E+01  7.453600E-01
1.881398E+01  6.485989E-01
2.011215E+01  5.696690E-01
2.149988E+01  5.052070E-01
2.298338E+01  4.524283E-01
2.456923E+01  4.091057E-01
2.626450E+01  3.734326E-01
2.807676E+01  3.435561E-01
3.001405E+01  3.187353E-01
3.208502E+01  2.981035E-01
3.429889E+01  2.808564E-01
3.666551E+01  2.663174E-01
3.919543E+01  2.539612E-01
4.189992E+01  2.433526E-01
4.479101E+01  2.341520E-01
4.788159E+01  2.260829E-01
5.118542E+01  2.189064E-01
5.471721E+01  2.124611E-01
5.849270E+01  2.065909E-01
6.252870E+01  2.011818E-01
6.684318E+01  1.961521E-01
7.145536E+01  1.914136E-01
7.638578E+01  1.869131E-01
8.165640E+01  1.826127E-01
8.729069E+01  1.784694E-01
9.331374E+01  1.744455E-01
9.975239E+01  1.705415E-01
1.066353E+02  1.667195E-01
1.139931E+02  1.629787E-01
1.218587E+02  1.593057E-01
1.302669E+02  1.557009E-01
1.392553E+02  1.521479E-01
1.488640E+02  1.486544E-01
1.591356E+02  1.452256E-01
1.701159E+02  1.418408E-01
1.818539E+02  1.385108E-01
1.944018E+02  1.352413E-01
2.078156E+02  1.320296E-01
2.221548E+02  1.288710E-01
2.374835E+02  1.257855E-01
2.538699E+02  1.227470E-01
2.713869E+02  1.197851E-01
2.901126E+02  1.168819E-01
3.101304E+02  1.140445E-01
3.315294E+02  1.112819E-01
3.544049E+02  1.085856E-01
3.788588E+02  1.059618E-01
4.050001E+02  1.034102E-01
