# attenuation data for Silicon
# taken from http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/tissue.html
# Z 0
# Z/A 0.49848
# rho 2.330E+00
# E/keV   mu/rho    mu_en/rho
   1.0000000e+000  1.5700000e+003  1.5670000e+003
  1.5000000e+000  5.3550000e+002  5.3310000e+002
  1.8389000e+000  3.0920000e+002  3.0700000e+002
  1.8389000e+000  3.1920000e+003  3.0590000e+003
  2.0000000e+000  2.7770000e+003  2.6690000e+003
  3.0000000e+000  9.7840000e+002  9.5160000e+002
  4.0000000e+000  4.5290000e+002  4.4270000e+002
  5.0000000e+000  2.4500000e+002  2.4000000e+002
  6.0000000e+000  1.4700000e+002  1.4390000e+002
  8.0000000e+000  6.4680000e+001  6.3130000e+001
  1.0000000e+001  3.3890000e+001  3.2890000e+001
  1.5000000e+001  1.0340000e+001  9.7940000e+000
  2.0000000e+001  4.4640000e+000  4.0760000e+000
  3.0000000e+001  1.4360000e+000  1.1640000e+000
  4.0000000e+001  7.0120000e-001  4.7820000e-001
  5.0000000e+001  4.3850000e-001  2.4300000e-001
  6.0000000e+001  3.2070000e-001  1.4340000e-001
  8.0000000e+001  2.2280000e-001  6.8960000e-002
  1.0000000e+002  1.8350000e-001  4.5130000e-002
  1.5000000e+002  1.4480000e-001  3.0860000e-002
  2.0000000e+002  1.2750000e-001  2.9050000e-002
  3.0000000e+002  1.0820000e-001  2.9320000e-002
  4.0000000e+002  9.6140000e-002  2.9680000e-002
  5.0000000e+002  8.7480000e-002  2.9710000e-002
  6.0000000e+002  8.0770000e-002  2.9510000e-002
  8.0000000e+002  7.0820000e-002  2.8750000e-002
  1.0000000e+003  6.3610000e-002  2.7780000e-002
  1.2500000e+003  5.6880000e-002  2.6520000e-002
  1.5000000e+003  5.1830000e-002  2.5350000e-002
  2.0000000e+003  4.4800000e-002  2.3450000e-002
  3.0000000e+003  3.6780000e-002  2.1010000e-002
  4.0000000e+003  3.2400000e-002  1.9630000e-002
  5.0000000e+003  2.9670000e-002  1.8780000e-002
  6.0000000e+003  2.7880000e-002  1.8270000e-002
  8.0000000e+003  2.5740000e-002  1.7730000e-002
  1.0000000e+004  2.4620000e-002  1.7530000e-002
  1.5000000e+004  2.3520000e-002  1.7460000e-002
  2.0000000e+004  2.3380000e-002  1.7570000e-002

