#                   R1                   R2                   Z1                   Z2         MIRROR_ANGLE              MLENGTH               MTHICK      COATING                 RB1I                 RB1O                 RB2I                 RB2O                 ZB1I                 ZB1O                 ZB2I                 ZB2O
#                   1D                   1D                   1D                   1D                   1D                   1D                   1D           1J                   1D                   1D                   1D                   1D                   1D                   1D                   1D                   1D
#                   mm                   mm                   mm                   mm                  rad                   mm                   mm                                mm                   mm                   mm                   mm                   mm                   mm                   mm                   mm
   5.425700000000E+01   5.335200000000E+01   1.125000000000E+02  -1.125000000000E+02   4.022200531565E-03   2.250000000000E+02   2.099999934435E-01            1   5.364000000000E+01   5.425700000000E+01   5.274500000000E+01   5.335200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.487000000000E+01   5.395500000000E+01   1.125000000000E+02  -1.125000000000E+02   4.066644249013E-03   2.250000000000E+02   2.099999934435E-01            1   5.446699999344E+01   5.487000000000E+01   5.356199999344E+01   5.395500000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.548600000000E+01   5.456000000000E+01   1.125000000000E+02  -1.125000000000E+02   4.115532319643E-03   2.250000000000E+02   2.099999934435E-01            1   5.507999999344E+01   5.548600000000E+01   5.416499999344E+01   5.456000000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.610800000000E+01   5.517200000000E+01   1.125000000000E+02  -1.125000000000E+02   4.159976003151E-03   2.250000000000E+02   2.099999934435E-01            1   5.569599999344E+01   5.610800000000E+01   5.476999999344E+01   5.517200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.673400000000E+01   5.578800000000E+01   1.125000000000E+02  -1.125000000000E+02   4.204419670224E-03   2.250000000000E+02   2.099999934435E-01            1   5.631799999344E+01   5.673400000000E+01   5.538199999344E+01   5.578800000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.736500000000E+01   5.640900000000E+01   1.125000000000E+02  -1.125000000000E+02   4.248863320688E-03   2.250000000000E+02   2.099999934435E-01            1   5.694399999344E+01   5.736500000000E+01   5.599799999344E+01   5.640900000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.800000000000E+01   5.703300000000E+01   1.125000000000E+02  -1.125000000000E+02   4.297751316805E-03   2.250000000000E+02   2.099999934435E-01            1   5.757499999344E+01   5.800000000000E+01   5.661899999344E+01   5.703300000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.864000000000E+01   5.766200000000E+01   1.125000000000E+02  -1.125000000000E+02   4.346639292379E-03   2.250000000000E+02   2.099999934435E-01            1   5.820999999344E+01   5.864000000000E+01   5.724299999344E+01   5.766200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.928500000000E+01   5.829700000000E+01   1.125000000000E+02  -1.125000000000E+02   4.391082888512E-03   2.250000000000E+02   2.099999934435E-01            1   5.884999999344E+01   5.928500000000E+01   5.787199999344E+01   5.829700000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.993600000000E+01   5.893600000000E+01   1.125000000000E+02  -1.125000000000E+02   4.444415180960E-03   2.250000000000E+02   2.099999934435E-01            1   5.949499999344E+01   5.993600000000E+01   5.850699999344E+01   5.893600000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
