# Z/A 1
# rho 2.23
1 3.164E+03 3.155E+03
1.03542 2.887E+03 2.879E+03
1.0721 2.634E+03 2.627E+03
1.0721 2.800E+03 2.790E+03
1.5 1.152E+03 1.148E+03
1.5596 1.037E+03 1.033E+03
1.5596 1.079E+03 1.073E+03
1.6935 8.629E+02 8.583E+02
1.8389 6.883E+02 6.845E+02
1.8389 1.776E+03 1.723E+03
2 1.500E+03 1.457E+03
3 5.123E+02 5.011E+02
3.6074 3.098E+02 3.036E+02
3.6074 3.133E+02 3.067E+02
4 2.355E+02 2.307E+02
5 1.260E+02 1.235E+02
6 7.500E+01 7.337E+01
8 3.269E+01 3.178E+01
10 1.705E+01 1.642E+01
15 5.217E+00 4.828E+00
20 2.297E+00 1.995E+00
30 7.987E-01 5.684E-01
40 4.341E-01 2.361E-01
50 3.022E-01 1.235E-01
60 2.417E-01 7.648E-02
80 1.890E-01 4.230E-02
100 1.657E-01 3.209E-02
150 1.389E-01 2.727E-02
200 1.246E-01 2.757E-02
300 1.069E-01 2.885E-02
400 9.540E-02 2.946E-02
500 8.696E-02 2.957E-02
600 8.035E-02 2.941E-02
800 7.052E-02 2.868E-02
1000 6.337E-02 2.774E-02
1250 5.667E-02 2.650E-02
1500 5.160E-02 2.533E-02
2000 4.447E-02 2.337E-02
3000 3.611E-02 2.069E-02
4000 3.140E-02 1.904E-02
5000 2.838E-02 1.795E-02
6000 2.632E-02 1.721E-02
8000 2.373E-02 1.629E-02
10000 2.223E-02 1.579E-02
15000 2.045E-02 1.522E-02
20000 1.982E-02 1.503E-02
