#                   R1                   R2                   Z1                   Z2         MIRROR_ANGLE              MLENGTH               MTHICK      COATING                 RB1I                 RB1O                 RB2I                 RB2O                 ZB1I                 ZB1O                 ZB2I                 ZB2O
#                   1D                   1D                   1D                   1D                   1D                   1D                   1D           1J                   1D                   1D                   1D                   1D                   1D                   1D                   1D                   1D
#                   mm                   mm                   mm                   mm                  rad                   mm                   mm                                mm                   mm                   mm                   mm                   mm                   mm                   mm                   mm
   5.456900000000E+01   5.426700000000E+01   1.125000000000E+02  -1.125000000000E+02   1.340000000000E-03   2.250000000000E+02   2.099999934435E-01            1   5.394900000000E+01   5.456900000000E+01   5.365100000000E+01   5.426700000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.518500000000E+01   5.488100000000E+01   1.125000000000E+02  -1.125000000000E+02   1.355000000000E-03   2.250000000000E+02   2.099999934435E-01            1   5.477899999344E+01   5.518500000000E+01   5.447699999344E+01   5.488100000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.580500000000E+01   5.549700000000E+01   1.125000000000E+02  -1.125000000000E+02   1.371000000000E-03   2.250000000000E+02   2.099999934435E-01            1   5.539499999344E+01   5.580500000000E+01   5.509099999344E+01   5.549700000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.643100000000E+01   5.611900000000E+01   1.125000000000E+02  -1.125000000000E+02   1.386000000000E-03   2.250000000000E+02   2.099999934435E-01            1   5.601499999344E+01   5.643100000000E+01   5.570699999344E+01   5.611900000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.706100000000E+01   5.674500000000E+01   1.125000000000E+02  -1.125000000000E+02   1.402000000000E-03   2.250000000000E+02   2.099999934435E-01            1   5.664099999344E+01   5.706100000000E+01   5.632899999344E+01   5.674500000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.769500000000E+01   5.737700000000E+01   1.125000000000E+02  -1.125000000000E+02   1.417000000000E-03   2.250000000000E+02   2.099999934435E-01            1   5.727099999344E+01   5.769500000000E+01   5.695499999344E+01   5.737700000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.833400000000E+01   5.801200000000E+01   1.125000000000E+02  -1.125000000000E+02   1.433000000000E-03   2.250000000000E+02   2.099999934435E-01            1   5.790499999344E+01   5.833400000000E+01   5.758699999344E+01   5.801200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.897800000000E+01   5.865200000000E+01   1.125000000000E+02  -1.125000000000E+02   1.449000000000E-03   2.250000000000E+02   2.099999934435E-01            1   5.854399999344E+01   5.897800000000E+01   5.822199999344E+01   5.865200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   5.962700000000E+01   5.929700000000E+01   1.125000000000E+02  -1.125000000000E+02   1.465000000000E-03   2.250000000000E+02   2.099999934435E-01            1   5.918799999344E+01   5.962700000000E+01   5.886199999344E+01   5.929700000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.028100000000E+01   5.994700000000E+01   1.125000000000E+02  -1.125000000000E+02   1.481000000000E-03   2.250000000000E+02   2.099999934435E-01            1   5.983699999344E+01   6.028100000000E+01   5.950699999344E+01   5.994700000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.093800000000E+01   6.060200000000E+01   1.125000000000E+02  -1.125000000000E+02   1.497000000000E-03   2.250000000000E+02   2.099999934435E-01            1   6.049099999344E+01   6.093800000000E+01   6.015699999344E+01   6.060200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.160200000000E+01   6.126200000000E+01   1.125000000000E+02  -1.125000000000E+02   1.513000000000E-03   2.250000000000E+02   2.099999934435E-01            1   6.114799999344E+01   6.160200000000E+01   6.081199999344E+01   6.126200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.227000000000E+01   6.192600000000E+01   1.125000000000E+02  -1.125000000000E+02   1.530000000000E-03   2.250000000000E+02   2.099999934435E-01            2   6.181199999344E+01   6.227000000000E+01   6.147199999344E+01   6.192600000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.294300000000E+01   6.259500000000E+01   1.125000000000E+02  -1.125000000000E+02   1.546000000000E-03   2.250000000000E+02   2.099999934435E-01            2   6.247999999344E+01   6.294300000000E+01   6.213599999344E+01   6.259500000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.362200000000E+01   6.327000000000E+01   1.125000000000E+02  -1.125000000000E+02   1.563000000000E-03   2.250000000000E+02   2.099999934435E-01            2   6.315299999344E+01   6.362200000000E+01   6.280499999344E+01   6.327000000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.430500000000E+01   6.394900000000E+01   1.125000000000E+02  -1.125000000000E+02   1.579000000000E-03   2.250000000000E+02   2.099999934435E-01            2   6.383199999344E+01   6.430500000000E+01   6.347999999344E+01   6.394900000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.499300000000E+01   6.463300000000E+01   1.125000000000E+02  -1.125000000000E+02   1.596000000000E-03   2.250000000000E+02   2.099999934435E-01            2   6.451499999344E+01   6.499300000000E+01   6.415899999344E+01   6.463300000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.568500000000E+01   6.532300000000E+01   1.125000000000E+02  -1.125000000000E+02   1.613000000000E-03   2.250000000000E+02   2.099999934435E-01            2   6.520299999344E+01   6.568500000000E+01   6.484299999344E+01   6.532300000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.638400000000E+01   6.601800000000E+01   1.125000000000E+02  -1.125000000000E+02   1.631000000000E-03   2.250000000000E+02   2.099999934435E-01            2   6.589499999344E+01   6.638400000000E+01   6.553299999344E+01   6.601800000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.708800000000E+01   6.671800000000E+01   1.125000000000E+02  -1.125000000000E+02   1.648000000000E-03   2.250000000000E+02   2.099999934435E-01            2   6.659399999344E+01   6.708800000000E+01   6.622799999344E+01   6.671800000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.779600000000E+01   6.742200000000E+01   1.125000000000E+02  -1.125000000000E+02   1.665000000000E-03   2.250000000000E+02   2.099999934435E-01            2   6.729799999344E+01   6.779600000000E+01   6.692799999344E+01   6.742200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.851100000000E+01   6.813300000000E+01   1.125000000000E+02  -1.125000000000E+02   1.683000000000E-03   2.250000000000E+02   2.099999934435E-01            2   6.800599999344E+01   6.851100000000E+01   6.763199999344E+01   6.813300000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.923000000000E+01   6.884800000000E+01   1.125000000000E+02  -1.125000000000E+02   1.700000000000E-03   2.250000000000E+02   2.099999934435E-01            2   6.872099999344E+01   6.923000000000E+01   6.834299999344E+01   6.884800000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   6.995500000000E+01   6.956900000000E+01   1.125000000000E+02  -1.125000000000E+02   1.718000000000E-03   2.250000000000E+02   2.099999934435E-01            2   6.943999999344E+01   6.995500000000E+01   6.905799999344E+01   6.956900000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.068500000000E+01   7.029500000000E+01   1.125000000000E+02  -1.125000000000E+02   1.736000000000E-03   2.250000000000E+02   2.099999934435E-01            3   7.016499999344E+01   7.068500000000E+01   6.977899999344E+01   7.029500000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.142000000000E+01   7.102600000000E+01   1.125000000000E+02  -1.125000000000E+02   1.754000000000E-03   2.250000000000E+02   2.099999934435E-01            3   7.089499999344E+01   7.142000000000E+01   7.050499999344E+01   7.102600000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.216100000000E+01   7.176300000000E+01   1.125000000000E+02  -1.125000000000E+02   1.772000000000E-03   2.250000000000E+02   2.099999934435E-01            3   7.162999999344E+01   7.216100000000E+01   7.123599999344E+01   7.176300000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.290700000000E+01   7.250500000000E+01   1.125000000000E+02  -1.125000000000E+02   1.791000000000E-03   2.250000000000E+02   2.099999934435E-01            3   7.237099999344E+01   7.290700000000E+01   7.197299999344E+01   7.250500000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.366000000000E+01   7.325200000000E+01   1.125000000000E+02  -1.125000000000E+02   1.809000000000E-03   2.250000000000E+02   2.099999934435E-01            3   7.311699999344E+01   7.366000000000E+01   7.271499999344E+01   7.325200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.441800000000E+01   7.400600000000E+01   1.125000000000E+02  -1.125000000000E+02   1.828000000000E-03   2.250000000000E+02   2.099999934435E-01            3   7.386999999344E+01   7.441800000000E+01   7.346199999344E+01   7.400600000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.518100000000E+01   7.476500000000E+01   1.125000000000E+02  -1.125000000000E+02   1.847000000000E-03   2.250000000000E+02   2.099999934435E-01            3   7.462799999344E+01   7.518100000000E+01   7.421599999344E+01   7.476500000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.594900000000E+01   7.552900000000E+01   1.125000000000E+02  -1.125000000000E+02   1.866000000000E-03   2.250000000000E+02   2.099999934435E-01            3   7.539099999344E+01   7.594900000000E+01   7.497499999344E+01   7.552900000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.672400000000E+01   7.630000000000E+01   1.125000000000E+02  -1.125000000000E+02   1.885000000000E-03   2.250000000000E+02   2.099999934435E-01            3   7.615899999344E+01   7.672400000000E+01   7.573899999344E+01   7.630000000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.750400000000E+01   7.707600000000E+01   1.125000000000E+02  -1.125000000000E+02   1.904000000000E-03   2.250000000000E+02   2.099999934435E-01            3   7.693399999344E+01   7.750400000000E+01   7.650999999344E+01   7.707600000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.829000000000E+01   7.785800000000E+01   1.125000000000E+02  -1.125000000000E+02   1.923000000000E-03   2.250000000000E+02   2.099999934435E-01            3   7.771399999344E+01   7.829000000000E+01   7.728599999344E+01   7.785800000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.908100000000E+01   7.864500000000E+01   1.125000000000E+02  -1.125000000000E+02   1.942000000000E-03   2.250000000000E+02   2.099999934435E-01            3   7.849999999344E+01   7.908100000000E+01   7.806799999344E+01   7.864500000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   7.988000000000E+01   7.943800000000E+01   1.125000000000E+02  -1.125000000000E+02   1.962000000000E-03   2.250000000000E+02   2.099999934435E-01            4   7.929099999344E+01   7.988000000000E+01   7.885499999344E+01   7.943800000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   8.068300000000E+01   8.023700000000E+01   1.125000000000E+02  -1.125000000000E+02   1.982000000000E-03   2.250000000000E+02   2.099999934435E-01            4   8.008999999344E+01   8.068300000000E+01   7.964799999344E+01   8.023700000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   8.149200000000E+01   8.104200000000E+01   1.125000000000E+02  -1.125000000000E+02   2.002000000000E-03   2.250000000000E+02   2.099999934435E-01            4   8.089299999344E+01   8.149200000000E+01   8.044699999344E+01   8.104200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   8.230800000000E+01   8.185400000000E+01   1.125000000000E+02  -1.125000000000E+02   2.022000000000E-03   2.250000000000E+02   2.099999934435E-01            4   8.170199999344E+01   8.230800000000E+01   8.125199999344E+01   8.185400000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   8.313000000000E+01   8.267000000000E+01   1.125000000000E+02  -1.125000000000E+02   2.042000000000E-03   2.250000000000E+02   2.099999934435E-01            4   8.251799999344E+01   8.313000000000E+01   8.206399999344E+01   8.267000000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   8.395800000000E+01   8.349400000000E+01   1.125000000000E+02  -1.125000000000E+02   2.062000000000E-03   2.250000000000E+02   2.099999934435E-01            4   8.333999999344E+01   8.395800000000E+01   8.287999999344E+01   8.349400000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   8.479100000000E+01   8.432300000000E+01   1.125000000000E+02  -1.125000000000E+02   2.083000000000E-03   2.250000000000E+02   2.099999934435E-01            4   8.416799999344E+01   8.479100000000E+01   8.370399999344E+01   8.432300000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   8.563200000000E+01   8.515800000000E+01   1.125000000000E+02  -1.125000000000E+02   2.103000000000E-03   2.250000000000E+02   2.099999934435E-01            4   8.500099999344E+01   8.563200000000E+01   8.453299999344E+01   8.515800000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   8.647800000000E+01   8.600000000000E+01   1.125000000000E+02  -1.125000000000E+02   2.124000000000E-03   2.250000000000E+02   2.099999934435E-01            4   8.584199999344E+01   8.647800000000E+01   8.536799999344E+01   8.600000000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   8.733000000000E+01   8.684800000000E+01   1.125000000000E+02  -1.125000000000E+02   2.145000000000E-03   2.250000000000E+02   2.099999934435E-01            4   8.668799999344E+01   8.733000000000E+01   8.620999999344E+01   8.684800000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   8.818900000000E+01   8.770100000000E+01   1.125000000000E+02  -1.125000000000E+02   2.166000000000E-03   2.250000000000E+02   2.099999934435E-01            4   8.753999999344E+01   8.818900000000E+01   8.705799999344E+01   8.770100000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   8.905400000000E+01   8.856200000000E+01   1.125000000000E+02  -1.125000000000E+02   2.187000000000E-03   2.250000000000E+02   2.099999934435E-01            4   8.839899999344E+01   8.905400000000E+01   8.791099999344E+01   8.856200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   8.992600000000E+01   8.942800000000E+01   1.125000000000E+02  -1.125000000000E+02   2.209000000000E-03   2.250000000000E+02   2.099999934435E-01            4   8.926399999344E+01   8.992600000000E+01   8.877199999344E+01   8.942800000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   9.080400000000E+01   9.030200000000E+01   1.125000000000E+02  -1.125000000000E+02   2.230000000000E-03   2.250000000000E+02   2.099999934435E-01            5   9.013599999344E+01   9.080400000000E+01   8.963799999344E+01   9.030200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   9.168800000000E+01   9.118200000000E+01   1.125000000000E+02  -1.125000000000E+02   2.252000000000E-03   2.250000000000E+02   2.099999934435E-01            5   9.101399999344E+01   9.168800000000E+01   9.051199999344E+01   9.118200000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   9.258000000000E+01   9.206800000000E+01   1.125000000000E+02  -1.125000000000E+02   2.274000000000E-03   2.250000000000E+02   2.099999934435E-01            5   9.189799999344E+01   9.258000000000E+01   9.139199999344E+01   9.206800000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   9.347700000000E+01   9.296100000000E+01   1.125000000000E+02  -1.125000000000E+02   2.296000000000E-03   2.250000000000E+02   2.099999934435E-01            5   9.278999999344E+01   9.347700000000E+01   9.227799999344E+01   9.296100000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   9.438200000000E+01   9.386000000000E+01   1.125000000000E+02  -1.125000000000E+02   2.318000000000E-03   2.250000000000E+02   2.099999934435E-01            5   9.368699999344E+01   9.438200000000E+01   9.317099999344E+01   9.386000000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
   9.529300000000E+01   9.476700000000E+01   1.125000000000E+02  -1.125000000000E+02   2.341000000000E-03   2.250000000000E+02   2.099999934435E-01            5   9.459199999344E+01   9.529300000000E+01   9.406999999344E+01   9.476700000000E+01   1.125000000000E+02   1.125000000000E+02  -1.125000000000E+02  -1.125000000000E+02
