# Comment line.
# For use with McStas (read_table-lib).
# Should contain stopping power information for one counting gas.
# First column: energy (keV). Second column: stopping power (keV/um).
# test (gas)
# Light particle information below:
0.99999900000000008 0.070262010000000014
1.1000000000000001 0.072644808600000013
1.2 0.074966509799999997
1.3 0.077215364100000003
1.3999999999999999 0.079407820800000001
1.5 0.081539180099999997
1.6000000000000001 0.083628241199999995
1.7 0.085646805300000003
1.8 0.087641870400000002
2 0.091474557300000009
2.25 0.095835971699999994
2.5 0.099990594900000007
2.75 0.1039431267
3 0.1077523146
3.25 0.1114369578
3.5 0.1149618078
3.75 0.11839736159999999
4 0.12171307050000001
4.5 0.1280484009
5 0.134038296
5.5 0.13972035420000001
6 0.14515802279999998
6.5 0.15031605330000003
7 0.15528609180000003
8 0.16461989459999998
9 0.17325812700000001
10 0.1813041846
11 0.188837964
12 0.19587990932999999
13 0.20249440785
14 0.20872516770000002
15 0.21459263301000001
16 0.22014192186000001
17 0.22537138932
18 0.23030288945999999
20 0.23933919492
22.5 0.24954598557000002
25 0.25813087524
27.5 0.26579319416999997
30 0.27252894753000001
32.5 0.27833555042999997
35 0.28344564296999997
37.5 0.28785758022000002
40 0.29180541222
45 0.29783525562000002
50 0.30223426842000001
55 0.30499916076
60 0.30636210275999998
65 0.30679166448
70 0.30628643597999999
80 0.30317281847999999
90 0.29795627547000003
100 0.29133801711000001
110 0.28402136846999998
120 0.27600444962999998
130 0.26799152562
140 0.25998142149000003
150 0.25197390224999999
160 0.24443824292999997
170 0.23713945353000002
180 0.23017106007000002
200 0.21724820800200001
225 0.20289144695400002
250 0.19037172023099999
275 0.17940598237800001
300 0.16978201392600001
325 0.16124085589499998
350 0.15364109130299999
375 0.14684146766099998
400 0.14070080297699997
450 0.13009020551100001
500 0.12119733794700001
550 0.11362217680799999
572 0.110751985449
# Heavy particle information below:
